Defined term,Definition,Reference1,Reference2
bowel regimen,"Bowel regimen is a protocol of stool softeners, laxatives, and stimulants to prevent or manage constipation.",https://www.vumc.org/trauma-and-scc/files/trauma-and-scc/public_files/Protocols/TraumaBowelReg3.pdf,
bowel resection,surgical removal of part or all of bowel,,
bowel sounds,"Bowel sounds are described as present, active, diminished, or absent.",,
BP,blood pressure,http://www.med.upenn.edu/student/documents/2010GuidetotheClinics_Jan2011_.pdf,
BPH,"BPH is benign prostatic hypertrophy, normal in older men.","Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
BPM,beats per minute,https://www.allacronyms.com/BPM/medical,
BPM,blood pressure management,https://www.allacronyms.com/BPM/medical,
BPM,breaths per minute,https://www.allacronyms.com/BPM/medical,
bradycardia,Bradycardia is when the heart beats too slowly.,https://www.webmd.com/a-to-z-guides/tc/sick-sinus-syndrome-topic-overview,
brain death,"Brain death as defined as lack of eye responsiveness to pain, brainstem reflexes, and drive to breath.",http://surgery.med.miami.edu/laora/clinical-operations/brain-death-diagnosis,
BRBPR,bright red blood per rectum,records context,
brown casts,"Muddy brown casts in urine are cells that sloughed off renal tubular epithelial cells, and indicate acute tubular necrosis, which is one of the causes of acute kidney injury.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2572284/,
brown casts urine analysis,"Muddy brown casts in urine are cells that sloughed off renal tubular epithelial cells, and indicate acute tubular necrosis, which is one of the causes of acute kidney injury.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2572284/,
bruit,A bruit is an abnormal sound due to turbulent blood flow in an artery due to either obstruction or localized high flow.,https://en.wikipedia.org/wiki/Bruit,
BS,breathing sounds,,
BS coarse bilat,This indicates secretions in the airways on both sides associated with chronic bronchitis and severe pulmonary edema.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4518345/,
BS coarse bilaterally,This indicates secretions in the airways on both sides associated with chronic bronchitis and severe pulmonary edema.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4518345/,
BS. dulcolax,BS is bowel sounds.,https://medlineplus.gov/ency/article/003137.htm,
BS. Tpn,BS is bowel sounds.,https://medlineplus.gov/ency/article/003137.htm,
BS: coarse,This indicates secretions in the airway associated with chronic bronchitis and severe pulmonary edema.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4518345/,
Budd-Chiari syndrome,"Budd-Chiari syndrome is gradual or quick blockage of the major veins that carry blood from the liver to the heart, usually due to clotting or overgrowth of fibrous tissue, which in turn may be caused by Pyrrolidizine plant alkaloids (bush tea), radiation, arsenic, trauma, blood poisoning (sepsis), vinyl chloride monomer, cancer, some cancer chemotherapy drugs, or birth control pills.",https://rarediseases.org/rare-diseases/budd-chiari-syndrome/,
Bumex,Bumex is a diuretic.,https://www.rxlist.com/bumex-drug.htm,
bump,Bump is used in the notes to indicate a real increase in hematocrit.,context,
BUN,"blood, urea, nitrogen levels; measured to monitor kidneys",https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_A,https://ac.els-cdn.com/S1607551X09704206/1-s2.0-S1607551X09704206-main.pdf?_tid=78d74118-0dbe-11e8-855e-00000aacb361&acdnat=1518197416_0a223a85f370e6a467ec49441f2670db
c/b,complicated by,http://www.globalrph.com/abbreviations_C.htm,
c/o,patient complains of,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
Ca,calcium,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_C,
CA,cancer,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_C,
ca mets,Ca mets are cancer metastases.,context,
ca:8.5 mg/dl,normal calcium level,https://stanfordhealthcare.org/health-care-professionals/laboratory-critical-value-list/_jcr_content/pv-detail-parsys/multi_col_1392929040.tablerender.html,
CABG,coronary artery bypass procedure,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_C,
CAD,coronary artery disease,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_C,
calchct,Calchct is the hematocrit calculated by tripling the hemoglobin level.,https://www.brainscape.com/flashcards/ww-4878335/packs/7232803,
calcium gluconate,"Calcium gluconate is used to treat calcium deficiency, which could be related to hypoparathyroidism, cardiac arrest, calcium channel blocker overdoe, hyperkalemia, or hypermagnesemia.",https://www.rxlist.com/consumer_calcium_gluconate_gluconate_ca/drugs-condition.htm,
calcium repleted,Patient had symptomatic hypocalcemia.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2486454/,
cardiac: SR,sinus rhythm,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_S,
cardiogenic,Cardiogenic means originating in the heart or caused by a heart problem.,https://www.merriam-webster.com/dictionary/cardiogenic,
cardiogenic shock,Cardiogenic shock happens when heart suddenly can't pump enough blood and is most often caused by a heart attack.,https://www.mayoclinic.org/diseases-conditions/cardiogenic-shock/symptoms-causes/syc-20366739,
cardura,Cardura is used to treat high blood pressure.,https://www.rxlist.com/cardura-drug.htm#indications,
CareWeb,CareWeb is a proprietary web-based electronic medical record.,https://www.sciencedirect.com/science/article/pii/S1386505698000951,
cath lab. temp pacer time,The cath lab is the room where cardiac catheterizations are peformed for monitoring heart function or treating cardiac or vascular problems.,https://myheart.net/articles/what-to-expect-as-a-patient-in-the-cath-lab/,
"catheter, left ij",Central venous line or central venous catheter in the left internal jugular vein.  There are several purposess for them.,"Kinniry JH. Central venous access. UPenn.  www.uphs.upenn.edu/gme/pdfs/CVC%20Insertion%20Overview.ppt
",
cavernous,"Cavernous means there are hollow spaces, or refers to an abnormally hollow sound.","Dorland's Medical Dictionary for Health Consumers.  2007 by Saunders, an imprint of Elsevier Inc.",
CAVH,continuous arteriovenous hemofiltration,https://ac.els-cdn.com/S1607551X09704206/1-s2.0-S1607551X09704206-main.pdf?_tid=78d74118-0dbe-11e8-855e-00000aacb361&acdnat=1518197416_0a223a85f370e6a467ec49441f2670db,
CAVHD,continuous venous venovenous hemofiltration,https://ac.els-cdn.com/S1607551X09704206/1-s2.0-S1607551X09704206-main.pdf?_tid=78d74118-0dbe-11e8-855e-00000aacb361&acdnat=1518197416_0a223a85f370e6a467ec49441f2670db,
CAVHDF,continuous arteriovenous hemodiafiltration,https://ac.els-cdn.com/S1607551X09704206/1-s2.0-S1607551X09704206-main.pdf?_tid=78d74118-0dbe-11e8-855e-00000aacb361&acdnat=1518197416_0a223a85f370e6a467ec49441f2670db,
CB,cervicobrachial,https://www.acronymfinder.com/Science-and-Medicine/CB.html,
CB,Clostridium botulinum,https://www.acronymfinder.com/Science-and-Medicine/CB.html,
CB,code blue,https://www.acronymfinder.com/Science-and-Medicine/CB.html,
CB,cortical blindness,https://www.acronymfinder.com/Science-and-Medicine/CB.html,
CCO,CCO is continuous cardiac output.,https://acronyms.thefreedictionary.com/CCO,
CCU,coronary care unit,www.bidmc.org/Patient-and-Visitor-Information/Adult-Intensive-Care/Finding-the-ICU.aspx,
c-diff,"Clostridium difficile infection, often causes severe diarrhea.",https://www.mayoclinic.org/diseases-conditions/c-difficile/symptoms-causes/syc-20351691,
CE,capsule endoscopy,https://www.acronymfinder.com/Science-and-Medicine/CE.html,
CE,cataract extraction,https://www.acronymfinder.com/Science-and-Medicine/CE.html,
CE,conjugated estrogen,https://www.acronymfinder.com/Science-and-Medicine/CE.html,
CE,contrast enhancement,https://www.acronymfinder.com/Science-and-Medicine/CE.html,
CE,cystic echinococcosis,https://www.acronymfinder.com/Science-and-Medicine/CE.html,
cecal perforation,Cecal perforation is a hole in the wall of the intestine near the appendix.,,
celiac axis,The celiac axis (CA) and its branches are critically important arteries that supply blood to the vital solid and hollow abdominal viscera of the foregut.,https://pubs.rsna.org/doi/full/10.1148/rg.2015140243,
central venous line tips,"Central venous catheters are used long-term for hemodynamic pressure monitoring; hemodialysis; and administration of medications, nutrition, and fluids.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3190489/,
cerebellar hemisphere,The cerebellar hemisphere is either of the paired portions of the cerebellum.,https://medical-dictionary.thefreedictionary.com/hemisphere,
cerebral hemisphere,A cerebral hemisphere is one of the paired structures constituting the largest part of the brain.,https://medical-dictionary.thefreedictionary.com/hemisphere,
chemo,chemotherapy,,
chest pt,"Chest physical therapy (CPT or Chest PT) is an airway clearance technique (ACT) to drain the lungs, and may include percussion (clapping), vibration, deep breathing and huffing or coughing.",https://www.cff.org/Life-With-CF/Treatments-and-Therapies/Airway-Clearance/Chest-Physical-Therapy/,
chest tube,"Chest tubes drain blood, fluid, or air from around your lungs, heart, or esophagus.",https://medlineplus.gov/ency/article/002947.htm,
CHF,congestive heart failure,,
cholangiogram,Cholangiography is the imaging of the bile duct (also known as the biliary tree) by x-rays.,https://en.wikipedia.org/wiki/Cholangiography,
cholelithiasis,Cholelithiasis is the presence of gallstones in the gallbladder. Gallstones form in the gallbladder.,http://bestpractice.bmj.com/topics/en-us/873,
chronic ARF,Chronic ARF is probably acute renal failure (ARF) that has lasted a long time.,https://www.kidney.org/atoz/content/AcuteKidneyInjury,
CI,"CI is cardiac index, a measure of heart function.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3419124/,
Cidofovir,Cidofovir is an antiviral used to treat cytomegalovirus infection of the retina in people with immunodeficiency.,https://medlineplus.gov/druginfo/meds/a696037.html,
cimetidine,Cimetidine is used to treat stomach or duodenal ulcer.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4aa4ee5b-b5be-4a98-5b8c-6f75e2b59e51,
circulatory arrest,"Circulatory arrest is brought about by cardiac arrest, or medical intervention.",https://medical-dictionary.thefreedictionary.com/circulatory+arrest,
circulatory collapse,shock; circulatory insufficiency without congestive heart failure,https://medical-dictionary.thefreedictionary.com/circulatory+arrest,
circulatory failure,This includes cardiac or central circulatory failure and peripheral circulatory failure.  Outcome is failure to bring enough O2 and nutrients to and carry CO2 from tissues.,https://medical-dictionary.thefreedictionary.com/circulatory+arrest,
cirrhosis,Cirrhosis is scarring of the liver.,https://medlineplus.gov/ency/article/000281.htm,
cisatracurium,Cisatracurium is a drug to relax muscles.,https://www.ncbi.nlm.nih.gov/pubmedhealth/?term=cisatracurium,
CK,"CK is creatine kinase, which is correlated with muscle and heart injury, and renal failure.",https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_C,
CK CKMB troponin-t:19//0.05,Troponin levels above 0.05 in blood indicate damage to skeletal and heart muscle.,http://www.southend.nhs.uk/pathology-handbook/test-directory/test-directory-t-index/hs-troponin-t/,
CK CKMB troponin-t:19//0.05,Normal creatine kinase level is 22 to 198; higher amounts indicate muscle damage.  The normal creatine kinase MB fraction (from heart muscle) is 3-5% or 5 to 25.,https://www.ncbi.nlm.nih.gov/books/NBK352/,
CK CKMB troponin-t:20/3/0.16,Troponin levels above 0.05 in blood indicate damage to skeletal and heart muscle.,http://www.southend.nhs.uk/pathology-handbook/test-directory/test-directory-t-index/hs-troponin-t/,
CK CKMB troponin-t:20/3/0.16,Normal creatine kinase level is 22 to 198; higher amounts indicate muscle damage.  The normal creatine kinase MB fraction (from heart muscle) is 3-5% or 5 to 25.,https://www.ncbi.nlm.nih.gov/books/NBK352/,
CK CKMB troponin-t:214/3/0.07,Troponin levels above 0.05 in blood indicate damage to skeletal and heart muscle.,http://www.southend.nhs.uk/pathology-handbook/test-directory/test-directory-t-index/hs-troponin-t/,
CK CKMB troponin-t:214/3/0.07,Normal creatine kinase level is 22 to 198; higher amounts indicate muscle damage.  The normal creatine kinase MB fraction (from heart muscle) is 3-5% or 5 to 25.,https://www.ncbi.nlm.nih.gov/books/NBK352/,
CK CKMB troponin-t:26//0.11,Troponin levels above 0.05 in blood indicate damage to skeletal and heart muscle.,http://www.southend.nhs.uk/pathology-handbook/test-directory/test-directory-t-index/hs-troponin-t/,
CK CKMB troponin-t:26//0.11,Normal creatine kinase level is 22 to 198; higher amounts indicate muscle damage.  The normal creatine kinase MB fraction (from heart muscle) is 3-5% or 5 to 25.,https://www.ncbi.nlm.nih.gov/books/NBK352/,
CK CKMB troponin-t:28//,Troponin levels above 0.05 in blood indicate damage to skeletal and heart muscle.,http://www.southend.nhs.uk/pathology-handbook/test-directory/test-directory-t-index/hs-troponin-t/,
CK CKMB troponin-t:28//,Normal creatine kinase level is 22 to 198; higher amounts indicate muscle damage.  The normal creatine kinase MB fraction (from heart muscle) is 3-5% or 5 to 25.,https://www.ncbi.nlm.nih.gov/books/NBK352/,
CK CKMB troponin-t:522/9/0.08,Troponin levels above 0.05 in blood indicate damage to skeletal and heart muscle.,http://www.southend.nhs.uk/pathology-handbook/test-directory/test-directory-t-index/hs-troponin-t/,
